temp,humid,press,error
46.74310819,29.63649959,69.0178256,0
52.99203634,23.97424359,81.6188204,0
50.84893549,27.23806037,75.22555842,0
45.48111586,30.50470303,69.31364976,0
48.26419924,26.04032532,71.26453863,0
54.95430961,33.7992879,83.11779273,0
42.71996227,31.48554267,65.13622735,0
48.71326211,28.45727883,75.04155966,0
53.79780878,29.3391226,83.56319343,0
47.39977879,35.58469237,73.72012606,0
47.96334155,32.80796535,70.8846693,0
49.71587309,31.14065743,74.27977217,0
54.47416888,25.75344369,79.36420313,0
48.08329401,34.88883396,71.65357044,0
48.66805412,33.15720321,73.05071547,0
48.69694617,29.55478384,72.23749939,0
56.61779025,28.35090579,83.91951624,0
56.56035827,29.43628818,86.90469776,0
51.1585592,28.58764333,77.53608289,0
52.21210573,32.28948154,75.76313738,0
54.47219608,24.57713617,82.11015593,0
47.19249839,29.05777688,70.02028445,0
53.52748713,30.34126792,82.92268562,0
46.238358,30.31070411,65.7529555,0
48.08674549,26.46318914,71.01247086,0
52.72131559,26.45354133,77.90867276,0
45.7139579,33.26749615,67.63778879,0
49.57979384,26.32641272,76.28484826,0
47.41473531,33.02595287,66.41738615,0
49.23314189,28.55290405,73.43360848,0
41.60423268,33.23938905,64.10779037,0
44.68540069,28.73676448,68.98833604,0
47.9003683,26.50058604,70.75239672,0
52.7823873,32.56966457,77.81402464,0
49.47909295,29.94782633,74.91106657,0
50.00853775,34.34572976,75.31488,0
52.06466813,32.67660026,78.23580843,0
47.36139097,29.31172011,63.43933006,0
50.85088197,28.6509972,74.02197855,0
47.58390045,30.07011703,69.64940454,0
44.81699152,30.57063005,68.511507,0
48.82730062,27.35475442,70.35943152,0
51.72141759,32.52581872,75.48887126,0
51.01576715,28.80790952,76.21488272,0
49.96450852,28.73091676,72.37157242,0
57.1770958,28.37793499,87.05135151,0
51.23873648,30.6930518,76.07529736,0
52.93620802,27.92384219,83.07012389,0
56.71443002,30.40491033,83.81220759,0
46.11774403,38.29980921,68.02404964,0
46.88363537,29.83917162,71.93432963,0
55.23113668,28.69798579,81.53603116,0
47.60581179,24.99693232,74.43185433,0
50.08904969,30.15066577,76.09940442,0
52.67211917,28.87332564,78.68658277,0
55.26465855,30.45482278,88.59840329,0
54.48693241,24.80703165,82.70770733,0
53.20817801,30.47238826,80.11322105,0
47.68187386,30.91354553,71.25765728,0
52.384588,26.10869994,80.65120607,0
50.94281598,28.82307242,73.37757135,0
46.02120362,24.50800091,68.66942938,0
54.25189714,34.72650281,75.7105308,0
52.4217096,30.99168983,77.56574915,0
50.13647024,29.4612345,76.90055899,0
49.30072382,29.50969251,76.7155474,0
46.40509657,33.39433082,70.81958533,0
50.59857222,29.71750334,77.17779551,0
51.40531736,30.99245031,73.67617306,0
47.50653505,34.55588868,69.90305495,0
53.48661215,28.96149856,83.17872825,0
46.70839086,26.72209403,69.01486627,0
43.63069895,27.52649828,65.17408362,0
53.11918127,34.2859915,78.06764794,0
48.78990189,30.27428493,71.31734986,0
49.62191124,28.49300614,73.49232841,0
47.48744983,32.92093314,69.90906282,0
45.18211172,32.99387216,69.68817117,0
53.76571212,28.5730567,81.07930738,0
47.93339305,27.08418949,73.93785723,0
54.98285746,25.2884142,79.69981119,0
52.42192456,24.61833324,81.08379313,0
49.05572556,29.20504064,73.62650079,0
46.7422928,27.32041216,73.79213596,0
47.80261404,35.57542323,71.59836878,0
46.36243061,30.17561326,66.55684228,0
56.26134008,24.17355137,86.96045137,0
50.49332369,34.25618783,75.46700906,0
53.45061663,30.48513093,75.87169478,0
46.19794385,32.11493844,69.58730514,0
50.54310539,32.04610433,76.27711433,0
53.53358582,30.8896697,82.45260421,0
48.99496771,31.57002789,66.31746391,0
53.09334338,30.71628202,81.93775402,0
46.74629626,26.68084228,69.17025089,0
51.13820184,33.07171651,73.27074075,0
48.8624707,29.36983076,74.38438385,0
51.92616407,31.65390665,78.71268376,0
44.06633621,31.25876744,65.25527485,0
52.13679391,35.44695619,76.65757905,0
57.79491178,29.2417491,85.94487762,0
49.92612206,29.12398751,74.1957425,0
50.10242639,29.64920478,72.64676357,0
50.53864845,29.69282677,77.79395702,0
44.41407287,23.18214687,64.43670861,0
51.27843992,28.07217048,78.96404183,0
45.18377077,30.8996552,64.19778702,0
48.71696121,29.97523046,72.72106225,0
47.79434913,28.00566224,71.65993495,0
51.50374697,28.93316062,79.16821221,0
53.03821716,27.59528466,79.1526313,0
50.83622257,28.46084817,75.33847503,0
45.88715459,28.38182964,68.43207671,0
49.00257417,32.68611254,75.46587497,0
55.87823403,33.04917381,81.40613714,0
43.92486271,32.80075528,63.84595707,0
49.17264196,31.2801054,69.84556643,0
48.34367579,27.87503255,76.57001107,0
50.36224209,32.87949135,73.22387368,0
52.24464685,29.05724824,74.59610697,0
54.8260729,30.06915662,80.62131108,0
49.18930282,34.0146616,72.55904374,0
52.43702399,30.25197857,81.58644799,0
51.49922043,30.74185209,76.3190322,0
51.42304189,25.76166154,77.7181014,0
48.30822821,31.46102788,68.8807827,0
47.00803559,27.05998006,70.92802037,0
46.69987066,33.03581897,66.7522135,0
47.73068837,29.44620247,70.96884246,0
50.96505973,23.29149347,74.92784763,0
52.28284818,28.92593969,78.54081526,0
50.97040654,29.31589639,77.72442723,0
48.35313471,31.45642568,69.85791017,0
55.41791033,32.01153717,80.85402864,0
54.55659687,29.01670727,82.22207332,0
48.93799966,33.03860458,74.78157091,0
47.52970578,20.49883401,74.12930906,0
50.39064486,27.85803301,74.64218383,0
53.80189594,26.66290719,77.71988655,0
50.99829493,26.23744947,76.87069384,0
51.66964611,32.87911911,75.91518174,0
49.36375963,32.4875112,72.19679905,0
51.36881269,27.67268994,79.86957318,0
54.63363335,33.53417101,83.18788365,0
49.28099366,30.30440068,72.46533475,0
50.4299232,28.7349477,75.60746173,0
50.76144943,27.92123161,75.97082017,0
50.85117607,27.66518482,76.60695534,0
45.76433337,31.41832457,67.83462083,0
44.36939403,31.9504647,62.75396599,0
46.94103479,30.71550364,68.45885183,0
50.50382689,23.84934697,74.69174716,0
51.6615685,30.88907597,77.54857628,0
48.40797632,31.69618969,70.44737576,0
54.13177245,27.99238318,81.57022855,0
49.57047208,30.12975163,73.59316519,0
50.06094799,24.4083471,73.57247179,0
49.41810839,26.31009281,71.58661033,0
52.11342222,29.07074657,79.0186201,0
51.99696031,31.05503812,79.59588223,0
47.30473118,26.43922384,72.05567322,0
54.57099133,28.97638181,83.1047559,0
46.71492063,28.53066066,70.83653818,0
50.23768104,31.58403142,71.83970221,0
49.17681028,34.26312831,73.20697766,0
46.85302497,35.16276096,67.41477253,0
49.77463824,25.29467986,77.40038151,0
47.77755868,29.85595742,71.63831057,0
50.21872173,26.66241207,77.86759429,0
51.20925788,29.80576515,74.75324224,0
54.41578811,31.26875784,81.43994373,0
50.92215266,30.2444727,76.90997748,0
48.16632398,29.8529649,71.58768168,0
48.82514057,34.44911752,73.61328965,0
50.41993432,32.16296818,78.59422839,0
50.28038249,29.18203662,73.35674689,0
54.18605879,32.61269342,84.48033646,0
48.35407362,28.72477169,74.77610982,0
42.32883619,24.67427148,64.79708088,0
48.35323876,26.44602752,72.09648454,0
47.06582688,30.43793768,71.3594299,0
48.93552663,24.64041944,71.12222141,0
51.17475273,29.54281651,76.9339234,0
50.53157699,28.63929247,76.98544589,0
49.91009598,32.99775841,73.31647852,0
50.59874633,26.04586853,75.13753731,0
49.62164668,24.20469306,75.05765706,0
50.5910568,28.74107778,78.53313262,0
40.30683498,31.90428939,60.45394278,0
49.19211953,33.2097558,72.92685961,0
49.66744784,27.27201895,74.20834021,0
48.97621485,31.41079124,75.78467417,0
49.34616121,26.66570866,72.73621715,0
52.10993035,27.7535176,77.56443074,0
48.20568401,31.70278418,71.04400445,0
56.6021063,32.15445163,84.49452638,0
52.06489079,27.00185775,78.52472739,0
49.98107825,31.42469497,77.03937377,0
49.38001309,24.39450056,69.82086907,0
49.74043314,29.39202328,75.72162754,0
47.25407879,26.59725592,69.09793842,0
49.71439238,27.57690198,75.75772858,0
50.83605055,26.17176794,78.7333458,0
51.73862485,31.66087919,79.59912729,0
51.73906934,31.66162341,77.92452157,0
49.17536736,27.92639866,75.43204891,0
45.75175324,31.12674692,66.74086199,0
47.99269212,30.78381766,71.85337801,0
54.83657913,29.61464474,85.29381089,0
52.68817494,36.4745106,77.45375135,0
47.71611727,30.04291527,70.83582515,0
50.01093546,28.85283891,74.62618626,0
46.23299394,28.88465996,70.1616333,0
48.34418937,30.47823601,71.97724625,0
49.26438997,29.1168129,73.88976667,0
48.9150802,27.41871972,72.36345377,0
52.86980579,30.37268249,75.65465204,0
45.74382226,33.54699494,69.00192164,0
47.40370319,32.82829914,71.98449485,0
45.87593609,30.60913347,71.57825106,0
46.28794036,27.79380956,69.16817962,0
50.37216769,30.5592888,72.76883447,0
45.1986784,33.25392907,66.29000121,0
52.26160634,33.57356779,79.4731942,0
49.25955267,31.07906118,73.72026998,0
50.96773021,29.39174175,75.74543504,0
48.69750044,32.31613778,76.78586849,0
53.09743915,32.05903864,83.10213474,0
49.41697182,24.72690116,72.26226648,0
51.78221077,31.97585269,79.49137813,0
49.40266285,32.13386502,74.71211906,0
50.87262316,27.33842572,76.33605379,0
50.74990982,27.72850771,79.36792599,0
47.07707645,27.95921159,72.94613136,0
51.30762731,25.74975124,74.04724086,0
49.04312903,30.93927579,76.33167617,0
51.89146409,27.6428418,77.7604396,0
43.54251967,29.78884849,64.11819835,0
51.09033669,30.76553256,78.52514565,0
55.58878276,26.96814889,84.18296518,0
52.50517624,30.73579612,77.00947172,0
47.9526472,31.16934305,70.30677522,0
44.92384275,32.48278376,66.61071792,0
52.22805866,35.90330727,77.3170759,0
49.75825033,23.72369469,75.69293613,0
51.77211265,30.960943,78.41564297,0
50.34589617,27.87251148,74.24754444,0
50.08892878,24.22482398,71.81837431,0
58.87587634,32.52489187,85.64581597,0
49.98161012,33.99659965,76.71252619,0
49.52226437,28.82511687,72.29377561,0
49.63565397,30.63274889,74.67575136,0
48.24938985,29.80776978,68.84776971,0
52.97039868,31.302593,80.2497177,0
48.938737,32.64160725,77.24715831,0
51.90782812,31.03481201,75.20560771,0
50.85380909,31.03730979,77.38010817,0
53.65695759,33.77920963,81.03036025,0
51.26053879,29.50601333,78.72657608,0
46.35984566,32.76919371,69.27728785,0
46.02053664,27.53399873,69.57645485,0
54.22510744,34.82125484,81.70160941,0
48.17386759,32.21347618,73.40648702,0
46.03819226,28.7887214,67.37906298,0
47.9911442,23.65635556,72.37161382,0
53.79387586,29.99906785,82.31146499,0
45.739361,26.45457177,70.94502269,0
47.40051439,30.89890381,72.09222941,0
47.99957747,34.35350647,69.73545314,0
46.24643038,30.48017938,66.26248922,0
46.44701798,29.46596216,70.4877781,0
45.44567607,31.02661621,66.1452266,0
48.9352735,22.91140767,72.82734153,0
47.95238554,30.72281059,73.95181019,0
45.03890648,31.86083207,71.80999297,0
53.76000784,29.2219751,80.51536641,0
46.01276351,32.93567723,68.7871445,0
50.83410114,29.61697628,78.2781376,0
46.77570022,32.30099629,72.29136039,0
52.0049506,36.81931532,81.41064224,0
52.86749707,29.71082661,79.69438484,0
47.36715924,24.1736035,69.78500494,0
44.22885281,28.99022483,66.35870653,0
52.08736196,24.82232999,76.88378455,0
55.62740164,31.83371348,83.92072187,0
51.24708362,33.92805292,75.13414605,0
50.48163326,32.08763899,77.52646281,0
52.45928183,30.96092464,80.08390305,0
52.29516454,28.06522363,78.72081341,0
47.5130335,34.72694924,71.32070334,0
48.02254607,32.25982864,71.64093327,0
51.83337065,30.85340867,80.37456638,0
49.56795996,30.61458096,76.7267749,0
53.94981679,30.33488208,81.21615889,0
47.88697356,31.35664927,70.11716058,0
52.25182975,28.16001846,76.02404799,0
51.02791394,34.5757498,77.11711234,0
49.62068731,30.45701926,73.15490709,0
52.0402146,28.69929817,77.28693082,0
46.98509854,31.1247556,72.02515653,0
51.92065604,23.15474272,78.29581455,0
54.12497189,26.64510336,83.18356397,0
49.60866593,29.90576054,69.94518839,0
49.25403245,26.03258067,73.42694818,0
47.99105856,37.31824219,76.4201641,0
49.95918834,24.99575606,69.93246049,0
52.05860206,31.03770225,79.77320752,0
47.5469951,34.96731946,72.15650013,0
45.96092732,31.44386118,71.51279309,0
48.87275027,29.06931734,72.96194181,0
45.86082506,28.34356775,71.17194647,0
51.56965532,32.01976647,79.78829459,0
48.71993069,27.59918796,73.47345622,0
44.73379447,29.64154167,64.77266794,0
48.95417746,32.07359582,75.25727525,0
49.42215504,29.07636292,72.18635857,0
51.34740684,30.26253003,76.74635712,0
